amenity_id,amenity_name
1,  Frigidaire  refrigerator
2,  GE   stainless steel gas stove
3, General electric Glass Cook top stainless steel electric stove
4, Pantene shampoo
5,! body soap
6,! conditioner
7,! refrigerator
8,! shampoo
9,! stainless steel oven
10,(Air Fryer) oven
11,**toaster oven stainless steel oven
12,1 inch TV
13,1 week supply available. shampoo
14,"100 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix"
15,"100 inch HDTV with Amazon Prime Video, Apple TV, Netflix"
16,"100 inch HDTV with Chromecast, Netflix, Amazon Prime Video"
17,"12 inch HDTV with Roku, Netflix, Amazon Prime Video"
18,"120 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, HBO Max, Netflix"
19,"120 inch HDTV with Amazon Prime Video, Chromecast, Netflix"
20,"120 inch HDTV with Amazon Prime Video, Netflix, Apple TV"
21,13 inch HDTV
22,14 inch HDTV with standard cable
23,15 inch TV
24,"17 inch HDTV with Chromecast, Netflix"
25,"18 inch HDTV with Netflix, standard cable"
26,18 inch TV with Netflix
27,19 inch HDTV with Netflix
28,2 Full watage portable induction cooktops induction stove
29,2 burner  electric stove
30,2 burner electric countertop unit electric stove
31,2 burner hotplate  stainless steel electric stove
32,2 door stainless steel  refrigerator
33,2 ovens stainless steel oven
34,"2 refrigerators, Hisense and Danby refrigerator"
35,2.5 cf refrigerator
36,"20 inch HDTV with Netflix, Roku"
37,20 inch TV
38,"20 inch TV with Roku, Netflix"
39,22 inch HDTV
40,22 inch HDTV with Netflix
41,22 inch HDTV with Roku
42,"22 inch TV with Chromecast, Netflix"
43,24 inch HDTV with Fire TV
44,24 inch HDTV with Netflix
45,"24 inch HDTV with Netflix, Amazon Prime Video"
46,24 inch HDTV with Roku
47,24 inch TV
48,24 inch TV with Chromecast
49,24 inch TV with Roku
50,"26 inch HDTV with Netflix, standard cable"
51,"27 inch HDTV with Chromecast, premium cable"
52,27 inch HDTV with Netflix
53,"27 inch HDTV with Netflix, standard cable"
54,27 inch HDTV with Roku
55,27 inch TV
56,"27 inch TV with Amazon Prime Video, Apple TV, Chromecast, Netflix"
57,27 inch TV with Chromecast
58,27 inch TV with standard cable
59,28 inch HDTV with Netflix
60,"28 inch TV with Amazon Prime Video, Disney+, Netflix, Apple TV, Chromecast, Fire TV, HBO Max, Hulu"
61,28 inch TV with Netflix
62,28 inch TV with standard cable
63,29 inch HDTV with Chromecast
64,2nd fridge on the patio  refrigerator
65,3 IN 1 - SLIKK -body wash- shampoo-Conditioner  body soap
66,3 Mini fridges (Danby) refrigerator
67,30 inch HDTV
68,"30 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix"
69,"30 inch HDTV with Amazon Prime Video, Chromecast, Netflix"
70,30 inch HDTV with Chromecast
71,30 inch HDTV with Netflix
72,30 inch HDTV with Roku
73,30 inch HDTV with premium cable
74,"30 inch HDTV with premium cable, standard cable"
75,30 inch HDTV with standard cable
76,30 inch TV
77,30 inch TV with Netflix
78,"30 inch TV with Netflix, Chromecast"
79,30 inch TV with Roku
80,30 inch TV with standard cable
81,31 inch HDTV with standard cable
82,"31 inch TV with standard cable, HBO Max"
83,32 inch HDTV
84,32 inch HDTV with Amazon Prime Video
85,"32 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Roku, standard cable"
86,"32 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Netflix"
87,"32 inch HDTV with Amazon Prime Video, Apple TV, Disney+"
88,"32 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix"
89,"32 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix"
90,"32 inch HDTV with Amazon Prime Video, Chromecast, Netflix, HBO Max"
91,"32 inch HDTV with Amazon Prime Video, Disney+, Apple TV, Netflix"
92,"32 inch HDTV with Amazon Prime Video, Disney+, Netflix"
93,"32 inch HDTV with Amazon Prime Video, Disney+, Netflix, Roku"
94,"32 inch HDTV with Amazon Prime Video, Fire TV"
95,"32 inch HDTV with Amazon Prime Video, Fire TV, HBO Max, Netflix, DVD player"
96,"32 inch HDTV with Amazon Prime Video, Netflix"
97,"32 inch HDTV with Amazon Prime Video, Netflix, Chromecast"
98,"32 inch HDTV with Amazon Prime Video, Netflix, Hulu, Disney+, HBO Max, Roku, standard cable, Apple TV"
99,"32 inch HDTV with Amazon Prime Video, Netflix, Roku"
100,"32 inch HDTV with Amazon Prime Video, Netflix, Roku, Chromecast"
101,"32 inch HDTV with Amazon Prime Video, Netflix, Roku, Disney+"
102,32 inch HDTV with Apple TV
103,"32 inch HDTV with Apple TV, Netflix"
104,32 inch HDTV with Chromecast
105,"32 inch HDTV with Chromecast, Roku"
106,"32 inch HDTV with Disney+, Fire TV"
107,32 inch HDTV with Fire TV
108,"32 inch HDTV with Fire TV, Disney+, Netflix, Amazon Prime Video"
109,"32 inch HDTV with Fire TV, Netflix, standard cable"
110,"32 inch HDTV with HBO Max, premium cable"
