crime_id,crime_type,criminal_id,neighbourhood_id
1,Total Arrests,23655,103
2,Other,15796,93
3,Other,861,15
4,Other Criminal Violations - Offensive Weapons,5391,107
5,Break and Enter,29803,72
6,Assaults,21576,21
7,Robbery,11965,103
8,Theft Over $5000,11285,122
9,Other,22119,75
10,Other Criminal Violations - Offensive Weapons,6266,88
11,Dangerous Driving,16851,117
12,Other,29911,100
13,Other,4427,104
14,Theft Under $5000,21963,131
15,Break and Enter,14424,53
16,Total Arrests,28021,2
17,Drive While Impaired / Over 80,11364,88
18,Other,27496,38
19,Other,16024,130
20,Assaults,8323,21
21,Firearm-Related,1686,58
22,Other Criminal Violations - Offensive Weapons,770,22
23,Theft Under $5000,26968,89
24,Other,30188,49
25,Fail to Remain,23334,59
26,Drive While Impaired / Over 80,2434,15
27,Other,5312,51
28,Sexual Violations,5052,108
29,Assaults,6421,55
30,Dangerous Driving,17569,64
31,Other,20940,131
32,Other,19770,51
33,Total Arrests,28694,135
34,Break and Enter,6397,21
35,Other,29420,73
36,Assaults,27481,18
37,Total Arrests,8667,132
38,Other,25659,89
39,Break and Enter,18943,60
40,Other,24234,14
41,Theft Under $5000,18432,9
42,Other Criminal Violations - Offensive Weapons,2748,90
43,Sexual Violations,25552,53
44,Other,26383,130
45,Total Arrests,190,84
46,Drive While Impaired / Over 80,31678,92
47,Firearm-Related,19119,111
48,Assaults,3006,8
49,Other,21043,35
50,Other,1900,81
51,Other,24119,50
52,Total Arrests,1268,104
53,Theft Under $5000,31552,132
54,Theft Under $5000,17913,2
55,Total Arrests,11395,134
56,Total Arrests,3557,54
57,Robbery,3891,106
58,Total Arrests,8839,4
59,Other,30741,54
60,Assaults,27465,44
61,Other,14503,14
62,Theft Under $5000,21778,95
63,Robbery,10628,48
64,Total Arrests,8793,15
65,Other,10556,40
66,Theft Under $5000,10254,82
67,Other,8434,111
68,Assaults,10234,53
69,Other Criminal Violations - Offensive Weapons,11017,24
70,Other,23898,124
71,Other,2613,41
72,Other,23426,15
73,Other,25940,45
74,Total Arrests,22620,65
75,Break and Enter,21871,89
76,Assaults,23484,71
77,Other,26055,9
78,Other,15788,88
79,Sexual Violations,27133,129
80,Other,17160,136
81,Other,12207,63
82,Total Arrests,8227,139
83,Theft Under $5000,14542,81
84,Other,3153,136
85,Break and Enter,26532,33
86,Other,1586,123
87,Total Arrests,3944,5
88,Other,23940,41
89,Theft Under $5000,19458,28
90,Assaults,1022,135
91,Other,11654,72
92,Total Arrests,10806,12
93,Other,13418,33
94,Drive While Impaired / Over 80,20228,48
95,Other,7990,62
96,Total Arrests,9693,37
97,Other,12991,99
98,Total Arrests,31122,104
99,Assaults,6874,35
100,Other,5676,101
101,Assaults,162,131
102,Drive While Impaired / Over 80,4298,1
103,Total Arrests,26558,5
104,Other,996,103
