guest_id,attraction_id,visit_date
426074932,32,2025-03-13 04:28:29
89415765,124,2025-09-12 01:01:07
214517126,108,2023-10-30 12:53:14
87701224,27,2025-09-15 11:37:42
7554456,110,2024-06-27 08:37:59
84585429,97,2024-02-28 11:17:49
162661374,74,2024-04-30 05:25:27
336359432,17,2023-04-07 08:51:13
30273428,49,2024-12-05 17:21:17
126145192,81,2025-11-19 10:25:13
313586010,116,2024-10-28 20:57:21
340683681,23,2025-05-15 02:14:41
63933941,98,2023-02-11 10:18:55
461564651,72,2023-09-16 19:49:07
152212622,141,2025-09-01 07:20:19
726204,151,2024-02-06 18:36:14
156562360,57,2024-01-17 05:45:08
24936975,148,2022-01-03 22:21:07
397783054,86,2022-10-03 08:11:02
104819450,23,2022-09-10 15:53:03
235553194,105,2022-05-18 18:02:17
55603700,163,2023-01-24 08:09:52
364411420,67,2022-06-11 19:30:05
120807227,34,2022-06-08 11:04:44
31035249,33,2025-04-22 09:40:00
79708509,46,2025-09-07 15:09:37
528126002,81,2023-02-23 22:31:40
105718273,173,2024-03-12 17:09:36
475785034,147,2025-07-27 21:36:59
148454486,87,2022-12-10 18:50:01
250902672,15,2025-09-21 23:15:55
129162452,123,2022-05-31 10:52:11
658957855,121,2024-04-21 08:47:37
37096888,78,2023-12-03 23:13:48
65134918,66,2025-11-13 20:21:49
338951909,39,2024-10-13 17:22:50
306226561,18,2023-10-16 15:30:42
224678301,160,2024-05-24 15:47:33
683222009,21,2023-12-26 21:47:43
28886785,168,2023-03-13 07:31:21
347284482,27,2022-02-26 23:10:02
126023681,2,2024-01-02 23:17:57
60821713,97,2022-02-27 09:09:52
27740671,39,2024-09-24 00:39:33
3480395,56,2024-12-06 16:37:19
435425467,107,2022-03-26 12:05:26
112119040,127,2022-04-13 15:17:09
11348090,13,2025-09-11 18:40:43
70376951,126,2025-07-24 01:05:15
397572037,56,2022-10-22 14:17:42
137505801,28,2022-12-26 20:21:21
231044456,64,2023-04-13 08:52:11
13076463,71,2022-09-01 13:02:56
29535958,169,2022-11-23 03:04:29
325293026,119,2023-08-30 05:25:42
70667437,100,2025-01-14 12:50:25
501186383,41,2024-01-03 18:48:11
344234276,4,2024-12-20 16:15:02
37186796,158,2025-02-06 02:31:14
126137778,88,2023-07-02 07:18:13
410222684,84,2025-08-07 21:16:50
135021611,46,2024-09-23 08:33:32
311159620,159,2023-05-19 07:40:57
50847443,88,2023-12-28 14:37:48
25606298,7,2022-06-26 10:06:50
465221542,77,2024-09-05 02:41:46
65368266,136,2025-02-25 11:13:08
116763186,172,2024-10-11 16:01:37
330225353,141,2022-07-26 05:20:07
