listing_id,name,price,property_type,review_scores_value,host_id,neighbourhood_id
1419,Beautiful home in amazing area!,0,Entire home,5,1565,72
8077,Downtown Harbourfront Private Room,0,Private room in rental unit,4.83,22795,123
26654,"World Class @ CN Tower, convention centre, Theatre",156,Entire condo,4.69,113345,123
27423,Executive Studio Unit- Ideal for One Person,0,Entire rental unit,4.88,118124,111
30931,Downtown Toronto - Waterview Condo,0,Entire rental unit,0,22795,123
40456,Downtown- King Size Bed and Parking,0,Entire home,0,174063,110
43964,Cozy & Private Basement Apartment  free parking,151,Entire bungalow,4.88,192364,129
44452,Yonge & Bloor Studio Skyline,94,Entire rental unit,4.23,195095,105
45399,Fountain View Studio - Eaton center,120,Entire condo,4.21,195095,7
45893,Yonge & Bloor Lakeview Master BR,94,Private room in rental unit,4.24,195095,105
50110,Yorkville one bedroom Condo,144,Entire condo,4.5,195095,24
51616,Large room in trendy King Street West.,0,Private room in condo,0,237587,88
64641,Furnished Heritage Rooms Downtown 3,50,Private room in home,4.62,304551,88
64645,Furnished Downtown Suite with Private Washroom,61,Private room in home,4.5,304551,88
71118,Downtown Loft Suite with Private Washroom,80,Entire home,4.38,304551,88
84151,North City View DT Apartment,128,Entire rental unit,4.48,195095,105
96336,John & Bren's Queen West 3 bedroom townhouse,333,Entire townhouse,4.91,511506,88
112842,Gorgeous Condo near High Park!!,66,Entire rental unit,4.83,575127,51
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,110,Entire home,4.78,174063,110
131401,Waterfront Luxury Suite 1 Bd - Downtown,69,Entire condo,4.64,604233,88
146601,Modern 1BR Downtown - Blue Jays Way,233,Entire condo,4.38,436139,123
153000,"1,100SqFt. 2B+Den Rogers/Convention Centre, TIFF",435,Entire condo,4.4,735795,123
154743,Downtown Yorkville Toronto,101,Entire condo,4.82,744412,24
179578,Furnished 1+1 bed Condo Apartment,0,Entire condo,0,545074,133
184784,2 bd Apt at Yonge & Bloor Yorkville,174,Entire rental unit,4.84,656777,24
186342,LUXE BayviewVillage Townhome /w 2-Car Garage,225,Entire townhouse,0,895337,8
192335,Studio Loft- 2 flr- Liberty Village,0,Entire loft,4.66,140602,110
192860,modern clean quiet 2B@ High Park -40% monthly,108,Entire guest suite,4.82,533496,60
196584,Spacious 1 Bedroom Suite on Subway Line!,92,Entire guest suite,4.89,957466,91
224775,"Location, Location downtown Toronto /  Lower Rate",85,Private room in home,4.68,1170217,24
228568,BEST VIEW in the City! Luxury condo,0,Entire condo,4.86,934821,20
232794,Unrivaled location on Yorkville Ave/2000 sq ft,230,Entire condo,4.86,1218097,4
239449,Bright 1BR Prime Annex U of T - Subway / Bloor St,90,Entire rental unit,4.68,349772,4
251549,Room in mid-town apartment,0,Private room in rental unit,0,1319225,4
266300,FURNISHED ONE-BDRM TORONTO KING W,0,Entire condo,5,1396237,88
269355,Elegant apartment in the heart of Toronto,0,Entire rental unit,0,1411076,22
273304,In the heart of Toronto downtown!,0,Private room in rental unit,0,1409872,24
288341,Beautiful Victorian Home,240,Entire home,4.86,1368256,90
307726,Boutique Chic Studio at Maple Leaf Square,105,Entire condo,4.86,1108156,123
314459,Cosy room by Toronto's Danforth Ave,0,Private room in home,4.92,1615944,15
325432,"Great 'hood, no car needed, 3.5br",0,Entire home,0,1664812,51
361557,Downtown/Stylish 2 Bdr.   Apt /Garden +Parking,0,Entire home,4.72,174063,110
361831,Townhome/Condo at The Mona Lisa,0,Private room in rental unit,0,1828773,130
363057,Charming Century Cottage in Beaches,342,Entire home,4.52,1816495,117
366973,Spacious Modern Cozy King W Toronto,337,Entire loft,4.44,1015670,123
387077,Furnished Downtown Studio Suite 2,58,Entire rental unit,4.5,304551,121
393873,"Sunny, Spacious, Downtown 1 Bedroom",115,Entire rental unit,4.86,1870492,88
403200,Yonge & Bloor Lakview Bedroom,72,Private room in rental unit,4.6,195095,105
406646,1BR-Close to Don Mills & Eglinton 202,30,Private room in home,4.41,1854872,43
